lap_number,lap_nature,lap_duration,avg_speed_kmh,max_speed_kmh,avg_heart_rate,max_heart_rate,total_distance,total_elapsed_time,avg_altitude,avg_cadence,avg_temperature,enhanced_avg_altitude,enhanced_max_altitude,enhanced_min_altitude,lap_duration_min_sec,max_altitude,max_cadence,min_altitude,min_heart_rate,total_elapsed_time_min_sec
1,Warm-up,286.0,12.59,15.26,150,162,1000.0,286.077,1310.6,83,20,1310.6,1334.4,1277.4,04:46,1334.4,103,1277.4,98,04:46
2,Warm-up,460.3,7.82,9.61,166,171,1000.0,460.333,1374.6,54,19,1374.6,1421.2,1321.0,07:40,1421.2,84,1321.0,159,07:40
3,Warm-up,459.0,7.84,9.0,166,170,1000.0,459.0,1468.6,50,18,1468.6,1515.6,1421.2,07:39,1515.6,82,1421.2,161,07:39
4,Warm-up,543.7,6.62,7.7,163,169,1000.0,543.667,1578.6,36,20,1578.6,1643.0,1515.6,09:03,1643.0,78,1515.6,158,09:03
5,Warm-up,440.1,8.18,15.77,167,173,1000.0,440.083,1691.6,51,21,1691.6,1730.6,1643.0,07:20,1730.6,102,1643.0,160,07:20
6,Warm-up,271.9,13.24,16.96,160,167,1000.0,271.851,1624.4,89,19,1624.4,1689.6,1560.6,04:31,1689.6,116,1560.6,154,04:31
7,Warm-up,290.1,12.41,16.24,161,171,1000.0,290.066,1517.6,77,17,1517.6,1560.6,1495.6,04:50,1560.6,119,1495.6,152,04:50
8,Warm-up,581.8,6.19,8.32,165,174,1000.0,581.832,1585.0,38,18,1585.0,1647.4,1518.4,09:41,1647.4,78,1518.4,155,09:41
9,Warm-up,611.5,5.89,12.42,163,172,1000.0,611.501,1700.8000000000002,44,23,1700.8000000000002,1772.4,1647.4,10:11,1772.4,90,1647.4,148,10:11
10,Warm-up,739.0,4.87,8.53,162,168,1000.0,739.0,1866.4,39,24,1866.4,1952.6,1772.4,12:19,1952.6,81,1772.4,155,12:19
11,Warm-up,451.7,7.97,14.72,155,164,1000.0,451.667,1954.4,61,22,1954.4,1978.0,1930.0,07:31,1978.0,109,1930.0,145,07:31
12,Warm-up,418.3,8.6,13.46,155,163,1000.0,418.333,2002.1999999999998,58,22,2002.1999999999998,2016.6,1978.0,06:58,2016.6,88,1978.0,147,06:58
13,Warm-up,309.0,11.65,14.54,156,163,1000.0,309.0,2017.4,82,23,2017.4,2027.0,1992.0,05:09,2027.0,93,1992.0,148,05:09
14,Warm-up,272.5,13.21,14.58,146,151,1000.0,272.501,1946.0,86,25,1946.0,1992.0,1894.4,04:32,1992.0,113,1894.4,138,04:32
15,Warm-up,266.5,13.51,15.01,146,151,1000.0,266.499,1819.8000000000002,91,25,1819.8000000000002,1894.4,1738.8000000000002,04:26,1894.4,118,1738.8000000000002,138,04:26
16,Warm-up,322.0,11.18,13.14,149,156,1000.0,322.0,1655.8000000000002,91,25,1655.8000000000002,1738.8000000000002,1575.0,05:22,1738.8000000000002,129,1575.0,144,05:22
17,Warm-up,359.5,10.02,13.43,145,153,1000.0,359.5,1490.2,88,25,1490.2,1575.0,1388.4,05:59,1575.0,114,1388.4,139,05:59
18,Warm-up,409.3,8.79,12.53,147,153,1000.0,409.25,1264.0,90,24,1264.0,1388.4,1141.2,06:49,1388.4,118,1141.2,139,06:49
19,Warm-up,318.9,11.29,13.64,149,156,1000.0,318.917,1097.0,84,25,1097.0,1141.2,1083.0,05:18,1141.2,110,1083.0,143,05:18
20,Warm-up,305.0,11.8,12.42,156,160,1000.0,305.0,1078.6,85,26,1078.6,1083.6,1076.0,05:05,1083.6,88,1076.0,152,05:05
21,Warm-up,333.3,10.8,11.81,156,159,1000.0,333.333,1081.6,84,27,1081.6,1092.0,1075.6,05:33,1092.0,87,1075.6,152,05:33
22,Warm-up,531.4,6.78,10.66,162,170,1000.0,531.4,1143.8,52,25,1143.8,1182.6,1091.8,08:51,1182.6,85,1091.8,147,08:51
23,Warm-up,401.6,8.96,11.45,152,158,1000.0,401.6,1181.6,60,22,1181.6,1198.0,1166.4,06:41,1198.0,84,1166.4,146,06:41
24,Warm-up,455.0,7.91,10.48,154,160,1000.0,455.0,1228.8,51,22,1228.8,1255.6,1198.0,07:35,1255.6,88,1198.0,150,07:35
25,Warm-up,653.7,5.51,9.83,152,161,1000.0,653.668,1309.0,42,24,1309.0,1377.0,1255.6,10:53,1377.0,86,1255.6,144,10:53
26,Warm-up,729.3,4.94,9.25,152,159,1000.0,729.332,1451.0,43,24,1451.0,1515.6,1377.0,12:09,1515.6,82,1377.0,144,12:09
27,Warm-up,554.0,6.5,9.22,146,153,1000.0,554.0,1549.4,50,28,1549.4,1582.0,1515.6,09:14,1582.0,87,1515.6,133,09:14
28,Warm-up,1057.7,3.4,8.57,142,158,1000.0,1057.667,1666.1999999999998,42,27,1666.1999999999998,1780.6,1582.0,17:37,1780.6,78,1582.0,118,17:37
29,Warm-up,1065.8,3.38,5.08,143,151,1000.0,1065.833,1881.6,40,22,1881.6,1974.0,1780.6,17:45,1974.0,78,1780.6,121,17:45
30,Warm-up,1527.0,2.36,12.1,136,168,1000.0,1527.0,2096.8,52,26,2096.8,2206.2,1974.0,25:27,2206.2,78,1974.0,122,25:27
31,Warm-up,1690.0,2.13,11.92,124,145,1000.0,1690.0,2285.8,48,29,2285.8,2378.2,2206.2,28:10,2378.2,78,2206.2,85,28:10
32,Warm-up,1144.5,3.15,10.33,130,147,1000.0,1144.5,2453.4,48,25,2453.4,2500.4,2378.2,19:04,2500.4,81,2378.2,110,19:04
33,Warm-up,1507.0,2.39,6.34,142,153,1000.0,1507.0,2630.4,50,23,2630.4,2773.4,2497.4,25:07,2773.4,78,2497.4,126,25:07
34,Warm-up,1001.3,3.6,9.76,128,153,1000.0,1001.334,2726.6,72,24,2726.6,2795.4,2561.6,16:41,2795.4,117,2561.6,105,16:41
35,Warm-up,408.7,8.81,13.18,144,158,1000.0,408.666,2499.8,83,25,2499.8,2561.6,2411.8,06:48,2561.6,128,2411.8,134,06:48
36,Warm-up,504.0,7.14,12.89,146,157,1000.0,504.0,2429.8,68,25,2429.8,2443.4,2411.8,08:24,2443.4,96,2411.8,137,08:24
37,Warm-up,372.2,9.67,12.67,149,156,1000.0,372.25,2414.6,79,25,2414.6,2426.2,2390.8,06:12,2426.2,86,2390.8,143,06:12
38,Warm-up,389.8,9.24,11.63,149,157,1000.0,389.75,2378.6,79,25,2378.6,2392.4,2361.2,06:29,2392.4,102,2361.2,137,06:29
39,Warm-up,399.0,9.02,12.46,141,151,1000.0,399.0,2326.8,78,25,2326.8,2361.2,2272.8,06:39,2361.2,110,2272.8,132,06:39
40,Warm-up,398.5,9.03,11.27,142,151,1000.0,398.5,2178.6,85,26,2178.6,2272.8,2068.0,06:38,2272.8,116,2068.0,135,06:38
41,Warm-up,364.0,9.89,12.06,140,149,1000.0,364.0,1968.1999999999998,88,28,1968.1999999999998,2068.0,1869.6,06:04,2068.0,110,1869.6,134,06:04
