lap_number,lap_nature,lap_duration,avg_speed_kmh,max_speed_kmh,avg_heart_rate,max_heart_rate,avg_running_cadence_step_per_min,avg_stance_time,avg_stance_time_balance,avg_stance_time_percent,avg_step_length,avg_vertical_oscillation,avg_vertical_ratio,total_distance,total_strides,total_elapsed_time,avg_temperature,enhanced_avg_altitude,enhanced_max_altitude,enhanced_min_altitude,lap_duration_min_sec,total_elapsed_time_min_sec,total_moving_time,unknown_136,unknown_137,unknown_143,unknown_145,unknown_152,unknown_155,unknown_161,unknown_162
1,Warm-up,344.886,,,146,159,164,254.7,,,1035.7,97.0,9.38,1000.0,485,344.886,,,88.60000000000002,55.0,05:44,05:44,,,,,93,100,5,2955,
2,Warm-up,317.731,,,159,163,166,253.2,,,1144.6,105.9,9.25,1000.0,439,317.731,,,90.79999999999995,83.0,05:17,05:17,,,,,86,100,5,3135,
3,Warm-up,308.24,,,154,165,172,242.2,,,1135.0,99.4,8.75,1000.0,439,308.24,,,84.60000000000002,50.0,05:08,05:08,,,,,78,100,5,3100,
4,Warm-up,416.007,,,161,176,152,268.5,,,957.3,94.1,10.07,1000.0,569,416.007,,,65.39999999999998,34.39999999999998,06:56,06:56,,,,,95,100,7,2555,
5,Warm-up,417.394,,,171,179,152,269.5,,,911.7,89.8,10.01,1000.0,541,417.394,,,74.60000000000002,38.200000000000045,06:57,06:57,,,,,101,100,7,2727,
6,Warm-up,454.611,,,160,174,142,265.0,,,945.6,85.5,9.8,1000.0,578,454.611,,,75.60000000000002,38.200000000000045,07:34,07:34,,,,,92,100,7,2347,
7,Warm-up,500.7,,,156,173,132,266.6,,,920.7,79.3,9.53,1000.0,579,735.71,,,93.0,41.39999999999998,08:20,12:15,,,,,101,100,8,2294,
8,Warm-up,353.381,,,158,171,168,254.9,,,1010.1,94.9,9.4,1000.0,496,353.381,,,89.39999999999998,63.799999999999955,05:53,05:53,,,,,90,100,6,2889,
9,Warm-up,431.509,,,166,177,146,262.8,,,909.6,84.9,9.72,1000.0,576,435.347,,,82.0,50.799999999999955,07:11,07:15,,,,,86,100,7,2531,
10,Warm-up,363.572,,,166,172,160,266.3,,,1011.2,98.9,9.81,1000.0,487,363.572,,,87.20000000000005,62.799999999999955,06:03,06:03,,,,,100,100,6,2940,
11,Warm-up,324.764,,,166,169,164,255.3,,,1124.1,105.3,9.36,1000.0,447,324.764,,,87.39999999999998,84.0,05:24,05:24,,,,,89,100,5,3082,
12,Warm-up,312.605,,,167,172,166,250.0,,,1142.2,104.1,9.11,1000.0,434,312.605,,,84.20000000000005,75.39999999999998,05:12,05:12,,,,,106,100,5,3180,
13,Warm-up,8.536,,,168,172,166,251.9,,,1159.2,106.6,9.19,21.56,9,8.536,,,79.20000000000005,78.0,00:08,00:08,,,,,2,100,0,3025,
